epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,fold,training_mode
17,27379.578264508928,162.63484,165.46776,-26.49200963140394,30777.820052083334,172.8855,175.43608,-34.88831584359034,1,head_only
18,25743.736328125,157.37936,160.44855,-24.849450075906287,28761.17109375,166.96815,169.59117,-32.53681279732012,1,head_only
19,24298.447126116072,152.59459,155.8796,-23.39822624707461,27410.295442708335,162.85704,165.56055,-30.961631314522922,1,head_only
20,22871.953962053572,147.56604,151.23477,-21.965875435979825,26236.648046875,159.18791,161.9773,-29.593105430156292,1,head_only
1,68757.58347039473,260.41595,262.21667,-72.43418191704518,59981.96763392857,242.83932,244.91217,-58.73692260479987,2,head_only
2,65197.842242324565,253.48488,255.33868,-68.63232224499637,56370.435267857145,235.28564,237.42459,-55.14014718031943,2,head_only
3,61773.171875,246.65427,248.5421,-64.97471918769395,53195.85602678572,228.45247,230.64227,-51.97853568114865,2,head_only
4,58447.191885964916,239.88333,241.75854,-61.42252117776244,50166.0,221.70912,223.97768,-48.96105712845859,2,head_only
5,55320.1289747807,233.22368,235.20232,-58.082768738526745,47253.15345982143,215.053,217.37791,-46.06011166716574,2,head_only
6,52277.09991776316,226.544,228.64186,-54.83276617249552,44169.41322544643,207.76102,210.1652,-42.98896858970906,2,head_only
7,49346.139117324565,220.09784,222.13991,-51.70245285979449,41894.758091517855,202.20895,204.68208,-40.723605107115624,2,head_only
8,46625.03083881579,213.75839,215.9283,-48.79626595066825,39327.625,195.73071,198.31194,-38.16696066884838,2,head_only
9,43970.57113486842,207.35126,209.6916,-45.96126136662976,36806.14397321428,189.18384,191.84929,-35.65577919892778,2,head_only
10,41324.33079769737,201.15385,203.28387,-43.135035654611634,35137.21568080357,184.7283,187.44923,-33.993671504017875,2,head_only
11,39009.86472039474,195.16197,197.50914,-40.66314960700143,32446.690011160714,177.29805,180.12964,-31.314136725203085,2,head_only
12,36718.7616502193,189.16238,191.6214,-38.216216165514425,30430.186941964286,171.5182,174.4425,-29.305871143315496,2,head_only
13,34540.16488486842,183.26361,185.84984,-35.88943915572472,28311.87667410714,165.16953,168.26132,-27.196214393980913,2,head_only
14,32435.197025767542,177.44742,180.09775,-33.641300901865016,27020.559709821428,161.19284,164.37932,-25.91017356266403,2,head_only
15,30435.248355263157,171.74736,174.45702,-31.505324113704326,25610.86104910714,156.82765,160.03394,-24.506234729248053,2,head_only
16,28561.395422149122,166.14056,169.00116,-29.50402003068797,24071.788643973214,151.77917,155.15085,-22.97344749386687,2,head_only
17,26732.170024671053,160.6688,163.49976,-27.550378010973272,22033.48214285714,144.91313,148.4368,-20.94347012128217,2,head_only
18,25083.095394736843,155.35611,158.37643,-25.78914138145664,20254.639090401786,138.61778,142.3188,-19.171892792015072,2,head_only
19,23391.80359100877,149.84009,152.9438,-23.982814953361533,19193.0244140625,134.7148,138.5389,-18.11461532325977,2,head_only
20,21995.963507401317,144.88144,148.31036,-22.492035588043713,17429.576171875,127.96625,132.02112,-16.35837153690021,2,head_only
1,66516.28988486843,255.94936,257.90753,-64.83744907460598,69160.77678571429,261.45694,262.98434,-84.17551409320023,3,head_only
2,63019.169476425435,249.03357,251.0362,-61.376019417927154,65178.424107142855,253.75264,255.30066,-79.27101189444086,3,head_only
3,59656.24424342105,242.16327,244.24628,-58.04741427410578,61565.341517857145,246.56282,248.12364,-74.8212941983489,3,head_only
4,56407.46833881579,235.3745,237.50258,-54.83179411041088,58098.85267857143,239.4576,241.03703,-70.55210855102405,3,head_only
5,53278.38336074561,228.67735,230.8211,-51.734643316407556,54761.46875,232.40489,234.01169,-66.44193032601382,3,head_only
6,50323.93256578947,222.06978,224.32997,-48.8103448986528,51834.959263392855,226.0452,227.67293,-62.837762976777285,3,head_only
7,47507.42310855263,215.6548,217.96198,-46.02258028784289,48896.46372767857,219.48643,221.12544,-59.21883265746428,3,head_only
8,44870.690446820176,209.28763,211.82703,-43.412756676000704,46323.353794642855,213.54155,215.2286,-56.049897851014244,3,head_only
9,42275.94716282895,203.04784,205.61116,-40.84449462073462,43455.37053571428,206.71194,208.45953,-52.51781129380737,3,head_only
10,39756.09745065789,196.90245,199.3893,-38.35036088131172,41204.61383928572,201.20848,202.98921,-49.74587440118192,3,head_only
11,37388.46165707237,190.61058,193.36096,-36.00688791589231,38250.90234375,193.74345,195.57838,-46.10820857170229,3,head_only
12,35237.00863486842,184.8536,187.71524,-33.87739205060655,36592.072544642855,189.50662,191.29054,-44.065261466811464,3,head_only
13,32984.61485745614,178.9265,181.61668,-31.647986065769878,34328.787388392855,183.3687,185.28029,-41.27789408387459,3,head_only
14,31069.664302357458,173.17876,176.2659,-29.75257858697514,32576.953683035714,178.57478,180.49086,-39.120410218333305,3,head_only
15,29122.64103618421,167.6724,170.65356,-27.825425931481398,30167.28515625,171.70737,173.68732,-36.152762303636194,3,head_only
16,27323.90943667763,161.94421,165.29945,-26.045051454010984,27610.172433035714,164.08144,166.16309,-33.00353023788143,3,head_only
17,25658.291221217107,156.6554,160.18205,-24.396432683011312,26479.08035714286,160.61778,162.72394,-31.610524753177906,3,head_only
18,24035.51990816886,151.51453,155.03394,-22.79022245776944,25024.00167410714,156.06459,158.18977,-29.818511109674848,3,head_only
19,22384.900561951756,146.03445,149.61584,-21.156448552464095,23471.158203125,150.91788,153.20299,-27.90609368556298,3,head_only
20,20917.557154605263,140.94994,144.62903,-19.704080280431214,21286.959821428572,143.41045,145.90051,-25.216126469428836,3,head_only
1,67513.8086622807,258.15604,259.8342,-76.81079519685385,66597.10379464286,255.23418,258.06415,-44.80847164228826,4,head_only
2,63984.95339912281,251.24413,252.95248,-72.7437287466362,63118.34263392857,248.34929,251.23364,-42.41562472448737,4,head_only
3,60592.93667763158,244.35466,246.15633,-68.83437485403533,59525.83147321428,241.01753,243.97916,-39.94453392714857,4,head_only
4,57309.30742872807,237.61981,239.39362,-65.04993409990824,56154.30133928572,233.94481,236.969,-37.62544339977189,4,head_only
5,54186.12445175439,230.9021,232.77913,-61.45041448196704,53349.17243303572,227.8826,230.97441,-35.69595182913452,4,head_only
6,51183.31894188596,224.35979,226.2373,-57.98963220009583,50712.263392857145,222.04819,225.19382,-33.882167039382914,4,head_only
7,48339.29194078947,217.85101,219.86198,-54.711843515814905,47447.560267857145,214.57536,217.82462,-31.63655850697087,4,head_only
8,45589.21169133772,211.4828,213.51631,-51.542329511682794,44806.74330357143,208.31697,211.67604,-29.820084901403327,4,head_only
9,43003.55074698465,205.15894,207.37297,-48.56231263008366,42481.556361607145,202.67566,206.11055,-28.220718069068067,4,head_only
10,40471.040364583336,199.02878,201.17415,-45.643551203490965,39749.99107142857,195.83304,199.37401,-26.34182370161,4,head_only
11,38085.17166940789,192.97296,195.15422,-42.89379720273589,37541.65234375,190.11755,193.75668,-24.822830745264007,4,head_only
12,35829.852521929824,187.02913,189.28775,-40.29450485608158,35567.31194196428,184.81079,188.59297,-23.46478953490845,4,head_only
13,33744.82483552631,181.38739,183.69765,-37.89147525506485,33278.26171875,178.56583,182.42331,-21.890279584665716,4,head_only
14,31625.003974780702,175.37357,177.8342,-35.44834529931369,31459.06473214286,173.42703,177.36703,-20.6389543822663,4,head_only
15,29736.650973135966,169.60628,172.44318,-33.271988320628665,29286.741629464286,167.05013,171.1337,-19.144732092943315,4,head_only
16,27880.187225877195,164.17534,166.9736,-31.13238188578199,27958.124441964286,162.97574,167.20683,-18.230851486186722,4,head_only
17,26090.357113486843,158.5446,161.52509,-29.069573139616075,25551.56612723214,155.36256,159.84859,-16.57551190793004,4,head_only
18,24418.90666118421,153.367,156.2655,-27.143198364238465,24447.40652901786,151.726,156.35667,-15.816021514800692,4,head_only
19,22850.507743969298,148.114,151.16383,-25.33559213092186,22722.83426339286,146.0452,150.74095,-14.629783517820174,4,head_only
20,21382.677665844298,142.94437,146.22816,-23.643893907952368,21277.329241071428,140.99706,145.86751,-13.63550044777354,4,head_only
1,68428.57743969298,259.48196,261.58856,-61.78904289372275,63832.60881696428,251.61983,252.65115,-119.9780911898817,5,head_only
2,64868.01062225877,252.58313,254.69199,-58.52192016899368,60291.40736607143,244.52185,245.54309,-113.26666249938594,5,head_only
3,61472.13815789474,245.74023,247.93576,-55.4059178354005,56862.75725446428,237.43205,238.45912,-106.76855093011382,5,head_only
4,58183.44805372807,238.92703,241.21246,-52.388265367637615,53561.33649553572,230.38237,231.43323,-100.51156891640258,5,head_only
5,55028.782209429824,232.23059,234.58215,-49.493591464127164,50633.23883928572,223.96072,225.01831,-94.96212237020478,5,head_only
6,51993.72190241228,225.65587,228.02132,-46.70866553323134,47732.89955357143,217.40335,218.47859,-89.46528434763495,5,head_only
7,49103.93667763158,219.05954,221.59407,-44.05704051315869,45194.63950892857,211.51762,212.5903,-84.65467086549995,5,head_only
8,46365.77220394737,212.8377,215.32713,-41.54454189544276,42568.748325892855,205.2535,206.32196,-79.67797895814144,5,head_only
9,43766.52953673246,206.50064,209.20451,-39.15951617502707,39924.39341517857,198.72893,199.8109,-74.66629629775703,5,head_only
10,41200.26288377193,200.36784,202.97849,-36.80474746118772,37744.12946428572,193.17313,194.27849,-70.53416931804378,5,head_only
11,38843.381853070176,194.1714,197.08725,-34.64210932263162,35200.63950892857,186.42932,187.61835,-65.71365132145114,5,head_only
12,36598.43140076754,188.33568,191.30717,-32.58217536680989,32841.03459821428,180.07639,181.22096,-61.241633279182466,5,head_only
13,34363.34909539474,182.34695,185.37354,-30.53129709527943,30554.752790178572,173.5655,174.79918,-56.908581354056466,5,head_only
14,32292.369791666668,176.62816,179.70079,-28.63099800915669,28920.340401785714,168.78433,170.05981,-53.810976468286505,5,head_only
15,30398.778303179824,170.93057,174.35246,-26.89346640330486,26763.904854910714,162.30225,163.59679,-49.724014342558355,5,head_only
16,28426.87342379386,165.11378,168.6027,-25.08407522715945,25248.518136160714,157.66588,158.89783,-46.85199256145063,5,head_only
17,26579.317845394737,159.7028,163.03165,-23.388785875706805,23918.28487723214,153.3143,154.65538,-44.330881575003545,5,head_only
18,24993.159676535088,154.39499,158.09225,-21.933351256584505,22219.457589285714,147.6571,149.06194,-41.1111970596457,5,head_only
19,23421.31140350877,149.22995,153.04022,-20.491046640625548,20201.928850446428,140.62968,142.13348,-37.28749791432291,5,head_only
20,21958.74890350877,143.95146,148.18484,-19.149021062754514,18918.78543526786,136.09755,137.54558,-34.85563221195431,5,head_only
