epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,fold,training_mode
1,2.4743696578911374,37.59263722139641,49.86432566823766,-1.4966612932109706,22.632467778523765,146.8838415537998,150.8077322200693,-25.519323796467454,1,full_finetune
2,1.0653890328747886,26.76199391068379,32.719884263613615,-0.07498708169852764,3.255194155375163,50.614977644649294,57.19342418830435,-2.8142348052886654,1,full_finetune
3,0.8003061605351312,23.199221585253092,28.358662072597387,0.19248387629790686,3.6213837623596192,53.501039074211775,60.32466690899233,-3.2433132417901724,1,full_finetune
4,1.0471401235886983,25.91950619522488,32.43844707303264,-0.056573801232727705,1.1821890791257224,26.469358846101112,34.46681227809346,-0.3852158909941761,1,full_finetune
5,0.9359531423875264,24.86478809778364,30.667947386309454,0.05561485589944637,0.6685166537761689,21.24404278653388,25.918733609427992,0.21667356385774628,1,full_finetune
6,0.6376807689666748,20.10590535804928,25.313914680840462,0.3565743771037233,0.7715140541394552,21.999488785631673,27.843868669355658,0.09598761409497047,1,full_finetune
7,0.6481189110449382,19.58478367645194,25.52025435751506,0.34604219881859455,1.1455539425214132,27.367055316103567,33.92855944447266,-0.3422891155501162,1,full_finetune
8,0.7969317180769784,22.67173992774902,28.298812438410764,0.19588872987346873,0.8156828900178273,23.982766511252976,28.629800855780783,0.04423332940889124,1,full_finetune
9,0.6521148298467908,20.064423255801803,25.59880519812399,0.34201026476572294,1.8152201970418294,33.58193641808852,42.70928609435087,-1.1269625908656709,1,full_finetune
10,0.630756254707064,20.423614708531506,25.17609931635874,0.36356125022574237,1.3893230358759563,28.31956911379496,37.36450917115126,-0.6279227437235138,1,full_finetune
11,0.7557584983961922,21.862148838091198,27.55809377213053,0.23743288145461794,1.0821351846059164,24.787361768275915,32.97603424952415,-0.26797905127227284,1,full_finetune
12,0.6598023059112685,20.90886953282133,25.749249346522106,0.33425352856387014,0.9838706254959106,24.105670054725756,31.44319327078294,-0.15283862249348146,1,full_finetune
13,0.7082609108516148,21.769612759789215,26.67806291355037,0.2853583685393942,1.1144617160161336,28.79962310147347,33.46495371842042,-0.30585719089056584,1,full_finetune
14,0.5552794699157987,19.255452751559265,23.62182584483039,0.43971802066928145,0.8236331065495809,23.482916321859875,28.768985545265746,0.03491776007738134,1,full_finetune
15,0.6812099048069545,20.936392160430557,26.163637749426883,0.31265309328488344,0.7124959071477254,21.852010292381713,26.757703879941882,0.16514142184318747,1,full_finetune
16,0.566512973180839,19.62405406004306,23.85956842807143,0.4283833170583816,1.0872576077779135,27.054930882756185,33.05398942898289,-0.2739811295644494,1,full_finetune
17,0.6213249202285495,19.74490181910346,24.98716824843022,0.37307756776622536,0.7394285519917806,21.633225754143023,27.258738453178964,0.1335834634466807,1,full_finetune
18,0.5939984172582626,19.311037488798974,24.43150931323336,0.40065025849501046,0.7907313744227091,22.91785043586126,28.18851190624468,0.07346991236444611,1,full_finetune
19,0.42579271644353867,16.686076479305964,20.685059217156166,0.5703713204087253,1.5228840986887613,29.60419458278831,39.11929970061825,-0.7844211851992888,1,full_finetune
20,0.5436076021620205,19.19967096533627,23.372244296030406,0.45149503663582435,0.8344982663790385,24.43601441545041,28.95812018702034,0.022186655299349267,1,full_finetune
1,2.5196139875211214,38.33032426644248,48.78557021845158,-1.5419114780302583,1.7726828711373466,37.649838201166396,40.92040273241183,-0.6676386384247142,2,full_finetune
2,1.254484170361569,28.578028507174842,34.42365412129551,-0.26558579038860053,1.6341594627925329,34.57872460317994,39.28905630945061,-0.5373237811610452,2,full_finetune
3,0.925054809503388,25.455928259206377,29.560250670724226,0.06675885832930939,1.2678256354161672,25.183839150034924,34.606218948998446,-0.1926978947887319,2,full_finetune
4,0.9441811169187228,24.270485149842642,29.864279157018355,0.047463285205982086,1.3588027613503593,28.033236660400153,35.826352136256155,-0.27828393482491776,2,full_finetune
5,0.8982099315576386,24.101359315535785,29.12817700968001,0.09384130636200927,1.4204074825559343,28.16966821795906,36.62948870595563,-0.33623813979339157,2,full_finetune
6,0.8829848452618247,23.15517437194526,28.880253634882862,0.10920113047058821,1.359161683491298,27.92645568583702,35.83108257909423,-0.2786215214298109,2,full_finetune
7,0.712467019887347,20.13674460802714,25.942197667078492,0.2812279524088075,1.5475383826664515,30.852589088906107,38.23359003372003,-0.45583551053288485,2,full_finetune
8,0.8019433973128336,21.47961031824073,27.523029310358375,0.1909597723310923,2.024563653128488,36.036022760662334,43.73106877634319,-0.9045936558673648,2,full_finetune
9,0.8424075172658552,23.0767242652868,28.20885751140517,0.1501375412402296,2.5659812688827515,36.38053544175676,49.23241145437209,-1.4139283057589505,2,full_finetune
10,0.8891555070877075,23.98808069612009,28.980991454569004,0.10297586361340505,1.3948843479156494,30.145453065563878,36.29890132475801,-0.3122274272353107,2,full_finetune
11,0.8716563851686946,23.532106482125585,28.694392552818375,0.12062984514014241,0.9746599963733128,25.014023512570816,30.34247153068556,0.08309560045919284,2,full_finetune
12,0.7659184869967008,20.87319747253567,26.897731481382838,0.22730347583911703,2.976277623857771,47.94982909763737,53.022609883126385,-1.7999118069815543,2,full_finetune
13,0.7407885999010321,21.730698313952672,26.452792263284167,0.25265575601537993,1.5476393359048026,32.94535436441196,38.23483884424762,-0.45593061498955567,2,full_finetune
14,0.814071693441324,22.15746606285446,27.730372660761894,0.17872412964480844,1.0937822120530265,25.327599694689333,32.14325159997927,-0.028967755935093598,2,full_finetune
15,0.7245716107519049,20.9586364118374,26.161644392005677,0.2690162418083224,1.4191627843039376,29.86160029718926,36.613435649289336,-0.3350671703425103,2,full_finetune
16,0.8058561734985887,22.462134732456114,27.59009196676567,0.18701235166064967,1.5927249533789498,29.19095562317554,38.78776688103186,-0.49834458931763037,2,full_finetune
17,0.8026428975557026,21.795656395657517,27.535030312416296,0.19025407891898916,2.444253921508789,41.43102376730523,48.05045917305315,-1.299414335838546,2,full_finetune
18,0.7168885496069204,21.19548546137006,26.022570881492516,0.2767673040727311,1.7055405378341675,33.6307035709738,40.137969566831934,-0.604474979481668,2,full_finetune
